#Experiment,SEP Date,Exception
GOES-13,2011-10-05 11:00:00,"No thresholds were crossed during this time period. Max flux has been written to json file in onset peak in file output/GOES-13_integral.2011-10-05T110000Z.json. Exiting. "
GOES-13,2011-10-20 00:00:00,"No thresholds were crossed during this time period. Max flux has been written to json file in onset peak in file output/GOES-13_integral.2011-10-20T000000Z.json. Exiting. "
GOES-13,2011-10-23 00:00:00, Success
GOES-13,2011-11-03 23:00:00,"No thresholds were crossed during this time period. Max flux has been written to json file in onset peak in file output/GOES-13_integral.2011-11-03T230000Z.json. Exiting. "
GOES-13,2011-11-10 13:00:00,"No thresholds were crossed during this time period. Max flux has been written to json file in onset peak in file output/GOES-13_integral.2011-11-10T130000Z.json. Exiting. "
GOES-13,2011-11-17 00:00:00,"No thresholds were crossed during this time period. Max flux has been written to json file in onset peak in file output/GOES-13_integral.2011-11-17T000000Z.json. Exiting. "
GOES-13,2011-11-26 00:00:00, Success
GOES-13,2011-12-17 00:00:00,"No thresholds were crossed during this time period. Max flux has been written to json file in onset peak in file output/GOES-13_integral.2011-12-17T000000Z.json. Exiting. "
GOES-13,2011-11-26 00:00:00, Success
GOES-13,2011-12-25 19:00:00,"No thresholds were crossed during this time period. Max flux has been written to json file in onset peak in file output/GOES-13_integral.2011-12-25T190000Z.json. Exiting. "
GOES-13,2011-12-29 22:30:00,"No thresholds were crossed during this time period. Max flux has been written to json file in onset peak in file output/GOES-13_integral.2011-12-29T223000Z.json. Exiting. "
GOES-13,2012-01-02 18:00:00,"No thresholds were crossed during this time period. Max flux has been written to json file in onset peak in file output/GOES-13_integral.2012-01-02T180000Z.json. Exiting. "
GOES-13,2012-01-16 00:00:00,"No thresholds were crossed during this time period. Max flux has been written to json file in onset peak in file output/GOES-13_integral.2012-01-16T000000Z.json. Exiting. "
GOES-13,2012-01-23 00:00:00, Success
GOES-13,2012-01-27 00:00:00, Success
GOES-13,2012-02-24 14:00:00,"No thresholds were crossed during this time period. Max flux has been written to json file in onset peak in file output/GOES-13_integral.2012-02-24T140000Z.json. Exiting. "
GOES-13,2012-02-29 00:00:00,"No thresholds were crossed during this time period. Max flux has been written to json file in onset peak in file output/GOES-13_integral.2012-02-29T000000Z.json. Exiting. "
GOES-13,2012-03-04 00:00:00,"No thresholds were crossed during this time period. Max flux has been written to json file in onset peak in file output/GOES-13_integral.2012-03-04T000000Z.json. Exiting. "
GOES-13,2012-03-04 19:40:00,"No thresholds were crossed during this time period. Max flux has been written to json file in onset peak in file output/GOES-13_integral.2012-03-04T194000Z.json. Exiting. "
GOES-13,2012-03-07 00:00:00, Success
GOES-13,2012-03-13 00:00:00, Success
GOES-13,2012-03-24 00:00:00,"No thresholds were crossed during this time period. Max flux has been written to json file in onset peak in file output/GOES-13_integral.2012-03-24T000000Z.json. Exiting. "
GOES-13,2012-04-06 00:00:00,"No thresholds were crossed during this time period. Max flux has been written to json file in onset peak in file output/GOES-13_integral.2012-04-06T000000Z.json. Exiting. "
GOES-13,2012-04-07 00:00:00,"No thresholds were crossed during this time period. Max flux has been written to json file in onset peak in file output/GOES-13_integral.2012-04-07T000000Z.json. Exiting. "
GOES-13,2012-04-09 00:00:00,"No thresholds were crossed during this time period. Max flux has been written to json file in onset peak in file output/GOES-13_integral.2012-04-09T000000Z.json. Exiting. "
GOES-13,2012-04-18 18:30:00,"No thresholds were crossed during this time period. Max flux has been written to json file in onset peak in file output/GOES-13_integral.2012-04-18T183000Z.json. Exiting. "
GOES-13,2012-04-24 00:00:00,"No thresholds were crossed during this time period. Max flux has been written to json file in onset peak in file output/GOES-13_integral.2012-04-24T000000Z.json. Exiting. "
GOES-13,2012-05-07 00:00:00,"No thresholds were crossed during this time period. Max flux has been written to json file in onset peak in file output/GOES-13_integral.2012-05-07T000000Z.json. Exiting. "
GOES-13,2012-05-17 00:00:00, Success
GOES-13,2012-05-27 00:00:00, Success
GOES-13,2012-06-02 00:00:00,"No thresholds were crossed during this time period. Max flux has been written to json file in onset peak in file output/GOES-13_integral.2012-06-02T000000Z.json. Exiting. "
GOES-13,2012-06-12 00:00:00,"No thresholds were crossed during this time period. Max flux has been written to json file in onset peak in file output/GOES-13_integral.2012-06-12T000000Z.json. Exiting. "
GOES-13,2012-06-16 00:00:00, Success
GOES-13,2012-07-02 00:00:00,"No thresholds were crossed during this time period. Max flux has been written to json file in onset peak in file output/GOES-13_integral.2012-07-02T000000Z.json. Exiting. "
GOES-13,2012-07-04 00:00:00,"No thresholds were crossed during this time period. Max flux has been written to json file in onset peak in file output/GOES-13_integral.2012-07-04T000000Z.json. Exiting. "
GOES-13,2012-07-07 00:00:00, Success
GOES-13,2012-07-09 00:00:00, Success
GOES-13,2012-07-12 00:00:00, Success
GOES-13,2012-07-17 00:00:00, Success
GOES-13,2012-07-19 00:00:00, Success
GOES-13,2012-07-23 00:00:00, Success
